height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
182,75,34,False,True,-DC-DR-MR-,"D(CR),M(R)",Scotland,gb-eng,UEL,5,0,1,1,0,0.8,1.2,James Tavernier,James,Tavernier,90882,Defender,306,Rangers,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0760000000000005,450,0.0,0.0,81.07142857142857,82
184,76,23,False,True,-AMC-,AM(C),Portugal,es,UEL,5,2,1,2,0,2.0,0.2,Gabri Veiga,Gabri,Veiga,399953,Midfielder,297,Porto,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.072,272,1.0,0.0,82.35294117647058,83
185,82,22,False,True,-DL-,D(L),Switzerland,fr,UEL,5,0,1,0,0,1.4,1.0,Jaouen Hadjam,Jaouen,Hadjam,438657,Defender,587,Young Boys,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0699999999999985,450,2.0,0.0,80.93023255813954,84
185,77,24,False,True,-DMC-,DMC,Italy,fr,UEL,5,0,1,1,0,0.6,0.8,Neil El Aynaoui,Neil,El Aynaoui,486734,Midfielder,84,Roma,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.066,450,1.0,0.0,94.79553903345726,85
183,77,32,False,True,-DR-,D(R),Greece,gr,UEL,5,1,0,0,1,0.4,0.4,Giannis Kotsiras,Giannis,Kotsiras,376886,Defender,685,Panathinaikos,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.062,353,1.0,0.0,87.36263736263736,86
178,57,23,False,True,-DL-MC-ML-MR-,"D(L),M(CLR)",England,nl,UEL,5,0,1,1,0,1.4,0.4,Ian Maatsen,Ian,Maatsen,384134,Defender,24,Aston Villa,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.06,422,1.0,0.0,90.42553191489363,87
178,71,30,False,True,-DL-ML-,"D(L),M(L)",Denmark,,UEL,1,1,0,1,0,1.0,0.0,Paulinho,Paulo Victor,da Silva,361475,Defender,395,FC Midtjylland,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.06,23,0.0,0.0,86.66666666666667,88
180,76,32,False,True,-AMC-AML-,AM(CL),Germany,it,UEL,5,0,0,2,1,1.2,0.2,Vincenzo Grifo,Vincenzo,Grifo,121192,Midfielder,50,Freiburg,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.058,323,1.0,0.0,79.3103448275862,89
182,75,25,False,True,-DL-ML-,"D(L),M(L)",France,,UEL,3,0,0,1,1,1.0,0.6666666666666666,Abner Vinícius,Abner Vinícius,da Silva Santos,379228,Defender,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0566666666666675,205,1.0,0.0,86.20689655172413,90
187,84,27,False,True,-DC-,D(C),Italy,co,UEL,5,0,1,0,0,0.6,2.0,Jhon Lucumí,Jhon,Lucumí,363653,Defender,71,Bologna,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.056,450,1.0,0.0,85.71428571428571,91
177,65,25,False,True,,Forward,Norway,,UEL,2,0,0,2,0,3.0,1.0,Sævar Magnússon,Sævar,Magnússon,424249,Forward,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.055,150,1.0,0.0,70.27027027027027,92
175,68,22,False,True,,Defender,Denmark,,UEL,3,0,0,0,1,0.6666666666666666,1.6666666666666667,Victor Bak Jensen,Victor,Bak Jensen,443665,Defender,395,FC Midtjylland,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.05,247,0.0,0.0,64.70588235294117,93
195,76,24,False,True,-DMC-,DMC,England,be,UEL,3,0,0,0,0,1.0,0.6666666666666666,Amadou Onana,Amadou,Onana,400815,Midfielder,24,Aston Villa,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.043333333333333,220,1.0,0.0,94.90445859872611,94
180,71,28,False,True,-DL-MC-ML-,"D(L),M(CL)",Germany,de,UEL,5,0,0,0,0,1.4,1.6,Maximilian Mittelstädt,Maximilian,Mittelstädt,261020,Defender,41,Stuttgart,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.042,440,1.0,0.0,89.1891891891892,95
187,80,31,False,True,-MC-,M(C),Greece,fr,UEL,5,1,0,1,0,1.2,1.4,Soualiho Meïté,Soualiho,Meïté,105161,Midfielder,851,PAOK Thessaloniki FC,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.040000000000001,389,0.0,0.0,88.53503184713377,96
174,69,28,False,True,-DC-DL-,D(CL),France,nl,UEL,4,0,0,0,1,0.75,0.75,Calvin Verdonk,Calvin,Verdonk,271086,Defender,607,Lille,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0375,335,1.0,0.0,82.93838862559242,97
175,69,25,False,True,-DL-ML-,"D(L),M(L)",Portugal,pt,UEL,4,0,1,0,1,0.25,1.25,Leonardo Lelo,Leonardo Filipe,da Cruz Lelo,444766,Defender,288,Braga,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.0275,326,0.0,0.0,77.1604938271605,98
