height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
190,73,25,False,True,-MC-,M(C),Germany,de,UCL,5,1,1,3,0,1.2,0.6,Felix Nmecha,Felix,Nmecha,367783,Midfielder,44,Borussia Dortmund,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.236,336,0.0,0.0,87.78280542986425,65
172,61,30,False,True,-FW-MC-ML-MR-,"M(CLR),FW",England,be,UCL,4,1,1,1,2,2.0,0.25,Leandro Trossard,Leandro,Trossard,113994,Forward,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.234999999999999,208,0.0,0.0,69.76744186046511,66
189,83,29,False,True,-FW-MC-,"M(C),FW",England,es,UCL,5,1,1,2,0,1.4,3.4,Mikel Merino,Mikel,Merino,238916,Midfielder,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.2299999999999995,335,2.0,0.0,73.94957983193278,67
172,68,18,False,True,-MC-ML-MR-,M(CLR),Portugal,pt,UCL,5,0,0,2,2,1.8,0.2,Geovany Quenda,Geovany,Tcherno Quenda,509068,Midfielder,296,Sporting,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.2219999999999995,387,1.0,0.0,82.87671232876713,68
176,70,22,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,de,UCL,4,0,0,0,2,1.0,0.0,Florian Wirtz,Florian,Wirtz,394786,Midfielder,26,Liverpool,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.22,342,0.0,0.0,85.88235294117646,69
168,67,17,False,True,,Midfielder,Germany,,UCL,3,1,0,2,0,2.6666666666666665,0.0,Lennart Karl,Lennart,Karl,557706,Midfielder,37,Bayern,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.213333333333334,167,0.0,0.0,89.6103896103896,70
190,79,24,False,True,-DC-DR-MR-,"D(CR),M(R)",Turkey,ci,UCL,3,0,0,0,0,0.6666666666666666,2.0,Wilfried Singo,Wilfried,Singo,371063,Defender,294,Galatasaray,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.213333333333334,270,0.0,0.0,86.875,71
183,72,24,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,UCL,5,0,2,4,1,2.2,0.0,Anthony Gordon,Anthony,Gordon,349669,Forward,23,Newcastle,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.203999999999999,378,1.0,0.0,77.35849056603774,72
188,84,26,False,True,-DC-DMC-,"D(C),DMC",England,gb-eng,UCL,5,1,0,0,2,0.4,0.6,Declan Rice,Declan,Rice,332325,Midfielder,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.194,383,2.0,0.0,88.44444444444444,73
173,66,23,False,True,-MC-ML-MR-,M(CLR),England,be,UCL,5,1,0,1,1,1.2,0.0,Jérémy Doku,Jérémy,Doku,388098,Forward,167,Man City,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.178000000000002,326,0.0,0.0,85.81560283687944,74
