teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Espanyol,3,0,0,0,60,Luca Koleosho,-AML-AMR-,AM(LR),438959,Forward,376,0,70,Spain,LaLiga,206,Spain,0,6.253333333
Real Betis,7,0,0,0,315,Marc Roca,-DC-DMC-,"D(C),DMC",323148,Midfielder,377,0,54,Spain,LaLiga,206,Spain,0,6.247142857
Osasuna,8,0,0,0,487,Juan Cruz,-DC-DL-,D(CL),96566,Defender,378,0,131,Spain,LaLiga,206,Spain,0,6.24375
Rayo Vallecano,8,0,1,0,183,Pacha Espino,-DL-,D(L),143655,Defender,379,0,64,Spain,LaLiga,206,Spain,0,6.24375
Celta Vigo,10,0,0,0,701,Javi Rodríguez,-DC-DR-,D(CR),508331,Defender,380,0,62,Spain,LaLiga,206,Spain,1,6.242
Osasuna,4,0,0,0,140,Asier Osambela,,Midfielder,518928,Midfielder,381,0,131,Spain,LaLiga,206,Spain,0,6.24
Celta Vigo,7,0,0,0,470,Manu Fernández,-DC-,D(C),578374,Defender,382,0,62,Spain,LaLiga,206,Spain,1,6.24
Espanyol,10,0,0,0,439,Urko González de Zárate,-DMC-,DMC,401173,Midfielder,383,0,70,Spain,LaLiga,206,Spain,0,6.235
Levante,12,0,1,0,228,José Luis Morales,-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",135321,Forward,384,0,832,Spain,LaLiga,206,Spain,1,6.234166667
Real Oviedo,11,0,1,0,627,Alberto Reina,-DMC-,DMC,463821,Midfielder,385,1,61,Spain,LaLiga,206,Spain,2,6.232727273
Real Oviedo,5,0,0,0,154,Ovie Ejaria,-MC-ML-,M(CL),327852,Forward,386,0,61,Spain,LaLiga,206,Spain,1,6.232
Levante,12,1,0,0,773,Roger Brugué,-ML-,M(L),448231,Midfielder,387,0,832,Spain,LaLiga,206,Spain,0,6.231666667
Girona,1,0,0,0,19,Abel Ruiz,-FW-,FW,372828,Forward,388,0,2783,Spain,LaLiga,206,Spain,0,6.23
Mallorca,2,0,0,0,67,Dani Rodríguez,-AMC-AML-AMR-FW-,"AM(CLR),FW",6227,Midfielder,389,0,51,Spain,LaLiga,206,Spain,0,6.225
Girona,2,0,0,0,41,Donny van de Beek,-MC-,M(C),275035,Midfielder,390,0,2783,Spain,LaLiga,206,Spain,0,6.225
Real Madrid,3,0,0,0,56,David Alaba,-DC-DL-MC-ML-,"D(CL),M(CL)",39722,Defender,391,0,52,Spain,LaLiga,206,Spain,0,6.223333333
