playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-DMC-,DMC,Spain,UCL,4,2,0,0,0,Marc Casadó,454343,Midfielder,65,Barcelona,Europe,Champions League,167,2,0,424
-DR-,D(R),Kazakhstan,UCL,4,1,0,0,0,Erkin Tapalov,424172,Defender,1770,Kairat Almaty,Europe,Champions League,226,0,0,425
,Forward,Kazakhstan,UCL,4,0,0,0,0,Jorginho,530684,Forward,1770,Kairat Almaty,Europe,Champions League,321,2,0,426
-GK-,GK,England,UCL,2,0,0,0,0,Alisson Becker,114147,Goalkeeper,26,Liverpool,Europe,Champions League,146,0,0,427
-DL-,D(L),Spain,UCL,4,2,0,0,0,Sergi Cardona,448209,Defender,839,Villarreal,Europe,Champions League,197,0,0,428
-FW-,FW,Azerbaijan,UCL,3,2,0,0,1,Nariman Akhundzada,443691,Forward,2569,Qarabag FK,Europe,Champions League,108,1,0,429
-AMC-AML-AMR-,AM(CLR),Germany,UCL,4,1,0,0,0,Ernest Poku,422737,Forward,36,Leverkusen,Europe,Champions League,248,0,0,430
-MC-,M(C),Italy,UCL,4,0,0,0,0,Frank Anguissa,349561,Midfielder,276,Napoli,Europe,Champions League,341,0,0,431
-DC-,D(C),Spain,UCL,3,0,0,0,0,Dani Vivian,357839,Defender,53,Athletic Club,Europe,Champions League,226,0,0,432
-AMC-,AM(C),Germany,UCL,4,3,0,0,0,Ibrahim Maza,477985,Forward,36,Leverkusen,Europe,Champions League,184,1,0,433
-DMC-,DMC,England,UCL,3,2,0,0,2,Andrey Santos,451236,Midfielder,15,Chelsea,Europe,Champions League,113,2,0,434
-DC-,D(C),England,UCL,2,1,0,0,0,Fabian Schär,82726,Defender,23,Newcastle,Europe,Champions League,70,0,0,435
-DC-DMC-DR-,"D(CR),DMC",England,UCL,3,2,0,0,0,Ben White,322036,Defender,13,Arsenal,Europe,Champions League,82,0,0,436
-AML-FW-,"AM(L),FW",Germany,UCL,3,3,0,1,0,Fábio Silva,380655,Forward,44,Borussia Dortmund,Europe,Champions League,39,0,0,437
,Forward,Belgium,UCL,4,4,0,0,0,Marc Giger,551801,Forward,2647,Union St.Gilloise,Europe,Champions League,113,1,0,438
