playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DMC-,DMC,12,0,0,0,0,Haris Belkebla,236553,Midfielder,614,Angers,22,fr,France,Ligue 1,6.556666667,1065,2,0,151
-DR-,D(R),11,1,0,1,0,Samir Chergui,438655,Defender,2832,Paris FC,22,fr,France,Ligue 1,6.554545455,914,1,0,152
-AMC-AML-FW-,"AM(CL),FW",10,1,0,2,0,Danny Namaso,342857,Forward,308,Auxerre,22,fr,France,Ligue 1,6.553,822,3,0,153
-AMC-AML-AMR-FW-,"AM(CLR),FW",12,5,0,2,2,Jérémie Boga,280766,Forward,613,Nice,22,fr,France,Ligue 1,6.5525,609,0,0,154
-AMC-AMR-,AM(CR),10,1,0,4,2,Gauthier Hein,322671,Midfielder,314,Metz,22,fr,France,Ligue 1,6.552,822,1,1,155
-DC-DL-DR-MR-,"D(CLR),M(R)",8,0,0,0,0,Thilo Kehrer,255167,Defender,248,Monaco,22,fr,France,Ligue 1,6.54875,668,2,1,156
-DC-DL-ML-,"D(CL),M(L)",10,4,1,0,1,Nicolás Tagliafico,83809,Defender,228,Lyon,22,fr,France,Ligue 1,6.548,637,1,1,157
-GK-,GK,12,0,1,0,0,Brice Samba,105198,Goalkeeper,313,Rennes,22,fr,France,Ligue 1,6.545,1080,2,0,158
-MC-,M(C),10,1,0,1,0,Adama Camara,511559,Midfielder,2832,Paris FC,22,fr,France,Ligue 1,6.54,725,2,0,159
-FW-,FW,10,1,1,2,1,Olivier Giroud,24444,Forward,607,Lille,22,fr,France,Ligue 1,6.539,746,1,0,160
-AMC-AML-AMR-,AM(CLR),8,5,0,2,0,Martial Godo,454749,Forward,148,Strasbourg,22,fr,France,Ligue 1,6.5375,258,2,0,161
-GK-,GK,12,0,0,0,0,Lucas Chevalier,398299,Goalkeeper,304,PSG,22,fr,France,Ligue 1,6.5325,1080,0,0,162
-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",8,2,0,1,1,Mama Baldé,345396,Forward,2332,Brest,22,fr,France,Ligue 1,6.5275,469,0,0,163
-DC-DL-,D(CL),7,1,0,0,0,Lilian Brassier,398931,Defender,313,Rennes,22,fr,France,Ligue 1,6.522857143,578,0,0,164
-DL-DR-MR-,"D(LR),M(R)",12,0,0,0,1,Kenny Lala,105151,Defender,2332,Brest,22,fr,France,Ligue 1,6.5225,1068,2,0,165
-FW-,FW,8,3,0,1,1,Emersonn,429556,Forward,246,Toulouse,22,fr,France,Ligue 1,6.52125,464,2,0,166
-MR-,M(R),12,2,0,2,0,Abdoul Ouattara,433937,Midfielder,148,Strasbourg,22,fr,France,Ligue 1,6.516666667,837,1,0,167
-AMC-FW-,"AM(C),FW",12,6,0,2,0,Gonçalo Ramos,395802,Forward,304,PSG,22,fr,France,Ligue 1,6.515,628,2,0,168
-DC-,D(C),12,2,0,0,0,Rasmus Nicolaisen,402059,Defender,246,Toulouse,22,fr,France,Ligue 1,6.508333333,864,3,0,169
-GK-,GK,8,0,1,0,1,Dominik Greif,383094,Goalkeeper,228,Lyon,22,fr,France,Ligue 1,6.5075,720,0,0,170
-DC-,D(C),11,1,0,0,0,Mark McKenzie,355122,Defender,246,Toulouse,22,fr,France,Ligue 1,6.505454545,916,2,0,171
-DMC-,DMC,8,1,0,0,0,Abu Francis,454674,Midfielder,246,Toulouse,22,fr,France,Ligue 1,6.50375,532,2,0,172
