playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,10,0,1,0,Callum Hudson-Odoi,350088,Forward,174,Nottingham Forest,England,Premier League,6.479,572,0,0,197
-DC-DL-ML-,"D(CL),M(L)",England,EPL,11,0,0,1,Luke Shaw,118244,Defender,32,Man Utd,England,Premier League,6.475454545,938,0,0,198
-DC-DR-,D(CR),England,EPL,7,0,0,0,Cristhian Mosquera,425591,Defender,13,Arsenal,England,Premier League,6.464285714,295,0,0,199
-GK-,GK,England,EPL,7,0,0,0,Sam Johnstone,105603,Goalkeeper,161,Wolves,England,Premier League,6.464285714,630,0,0,200
-DMC-,DMC,England,EPL,10,0,2,0,Lesley Ugochukwu,404616,Midfielder,184,Burnley,England,Premier League,6.464,594,0,1,201
-AML-AMR-FW-,"AM(LR),FW",England,EPL,11,0,1,0,Ollie Watkins,148503,Forward,24,Aston Villa,England,Premier League,6.462727273,870,0,0,202
-AMC-AML-AMR-,AM(CLR),England,EPL,8,0,0,1,Savinho,397821,Forward,167,Man City,England,Premier League,6.4575,391,1,0,203
-GK-,GK,England,EPL,11,0,0,0,Bart Verbruggen,400138,Goalkeeper,211,Brighton,England,Premier League,6.457272727,990,0,0,204
-DC-,D(C),England,EPL,7,0,0,0,Hjalmar Ekdal,399619,Defender,184,Burnley,England,Premier League,6.445714286,534,0,0,205
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",England,EPL,10,0,1,0,Kyle Walker-Peters,313672,Defender,29,West Ham,England,Premier League,6.445,466,1,0,206
-MC-,M(C),England,EPL,8,0,2,0,Tomás Soucek,143595,Midfielder,29,West Ham,England,Premier League,6.43625,426,0,1,207
-DL-DR-MR-,"D(LR),M(R)",England,EPL,7,0,0,0,Aaron Wan-Bissaka,331924,Defender,29,West Ham,England,Premier League,6.431428571,563,0,0,208
-FW-,FW,England,EPL,10,0,1,1,Raúl Jiménez,108186,Forward,170,Fulham,England,Premier League,6.427,453,0,0,209
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,8,0,2,1,Federico Chiesa,322971,Forward,26,Liverpool,England,Premier League,6.425,117,1,0,210
-DC-DR-,D(CR),England,EPL,7,0,0,0,James Hill,362837,Defender,183,Bournemouth,England,Premier League,6.421428571,276,1,0,211
-DC-DMC-DR-,"D(CR),DMC",England,EPL,10,0,0,1,Jefferson Lerma,133464,Midfielder,162,Crystal Palace,England,Premier League,6.413,361,2,0,212
-DC-DL-ML-,"D(CL),M(L)",England,EPL,8,0,0,0,Vitalii Mykolenko,345516,Defender,31,Everton,England,Premier League,6.41,716,1,0,213
-DR-MR-,"D(R),M(R)",England,EPL,9,0,0,0,Conor Bradley,424945,Defender,26,Liverpool,England,Premier League,6.408888889,534,4,0,214
-FW-,FW,England,EPL,11,0,1,0,Beto,380546,Forward,31,Everton,England,Premier League,6.407272727,612,1,0,215
-AMC-AML-AMR-,AM(CLR),England,EPL,9,0,0,0,Yéremy Pino,403865,Midfielder,162,Crystal Palace,England,Premier League,6.401111111,536,2,0,216
-DC-DR-,D(CR),England,EPL,11,0,0,0,Nikola Milenkovic,319785,Defender,174,Nottingham Forest,England,Premier League,6.398181818,990,1,0,217
-DL-ML-,"D(L),M(L)",England,EPL,7,0,0,1,Destiny Udogie,401044,Defender,30,Tottenham,England,Premier League,6.397142857,342,0,0,218
-DC-DL-DMC-DR-,"D(CLR),DMC",England,EPL,8,0,0,0,Lutsharel Geertruida,345441,Defender,16,Sunderland,England,Premier League,6.395,338,0,0,219
-FW-MC-ML-,"M(CL),FW",England,EPL,10,0,0,2,Alexis Mac Allister,345319,Midfielder,26,Liverpool,England,Premier League,6.395,645,1,0,220
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,7,0,0,0,Anthony Gordon,349669,Forward,23,Newcastle,England,Premier League,6.392857143,467,0,1,221
-MC-,M(C),England,EPL,7,0,0,1,Ryan Yates,342830,Midfielder,174,Nottingham Forest,England,Premier League,6.392857143,241,1,0,222
-DC-,D(C),England,EPL,8,1,1,1,Harry Maguire,99487,Defender,32,Man Utd,England,Premier League,6.39,344,0,0,223
-DR-MR-,"D(R),M(R)",England,EPL,11,0,0,0,Jayden Bogle,354291,Defender,19,Leeds,England,Premier League,6.385454545,962,2,0,224
-DC-,D(C),England,EPL,11,0,0,0,Leny Yoro,437299,Defender,32,Man Utd,England,Premier League,6.385454545,643,0,0,225
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,0,0,Florian Wirtz,394786,Midfielder,26,Liverpool,England,Premier League,6.380909091,693,1,0,226
-DR-MR-,"D(R),M(R)",England,EPL,8,0,0,0,Álex Jiménez,497295,Defender,183,Bournemouth,England,Premier League,6.3775,414,4,0,227
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,10,0,0,1,Wilson Odobert,444751,Forward,30,Tottenham,England,Premier League,6.377,379,0,0,228
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,1,3,0,Donyell Malen,351354,Forward,24,Aston Villa,England,Premier League,6.370909091,335,0,0,229
-FW-,FW,England,EPL,7,0,1,1,Rodrigo Muniz,403649,Forward,170,Fulham,England,Premier League,6.37,353,1,0,230
-MC-ML-MR-,M(CLR),England,EPL,9,0,0,0,Will Hughes,108638,Midfielder,162,Crystal Palace,England,Premier League,6.37,449,3,0,231
-DMC-,DMC,England,EPL,11,0,0,0,Carlos Baleba,436048,Midfielder,211,Brighton,England,Premier League,6.369090909,653,4,0,232
-DC-,D(C),England,EPL,7,0,0,0,Kevin Danso,330816,Defender,30,Tottenham,England,Premier League,6.365714286,258,3,0,233
-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",England,EPL,7,0,1,1,James Milner,4511,Midfielder,211,Brighton,England,Premier League,6.361428571,190,1,0,234
-MC-ML-,M(CL),England,EPL,9,0,0,0,Curtis Jones,355354,Midfielder,26,Liverpool,England,Premier League,6.361111111,339,1,0,235
-FW-,FW,England,EPL,8,1,2,0,Chris Wood,73380,Forward,174,Nottingham Forest,England,Premier League,6.35625,545,0,0,236
-DL-DR-,D(LR),England,EPL,9,0,1,0,Maxim De Cuyper,392647,Defender,211,Brighton,England,Premier League,6.352222222,414,1,0,237
-AMC-AMR-FW-,"AM(CR),FW",England,EPL,10,0,1,0,Loum Tchaouna,425118,Forward,184,Burnley,England,Premier League,6.347,440,1,0,238
-FW-,FW,England,EPL,7,0,1,0,Eliezer Mayenda,494670,Forward,16,Sunderland,England,Premier League,6.342857143,263,0,0,239
-AML-AMR-FW-,"AM(LR),FW",England,EPL,8,0,1,0,Gabriel Martinelli,380706,Forward,13,Arsenal,England,Premier League,6.3425,216,0,0,240
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,10,0,1,0,Justin Kluivert,331579,Forward,183,Bournemouth,England,Premier League,6.339,396,2,0,241
-DL-FW-MC-ML-MR-,"D(L),M(CLR),FW",England,EPL,9,0,0,1,Keane Lewis-Potter,368512,Forward,189,Brentford,England,Premier League,6.337777778,451,1,0,242
-FW-,FW,England,EPL,9,0,1,0,Jørgen Strand Larsen,333048,Forward,161,Wolves,England,Premier League,6.335555556,711,0,0,243
-MC-,M(C),England,EPL,11,0,0,0,Sander Berge,321020,Midfielder,170,Fulham,England,Premier League,6.332727273,960,2,0,244
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,8,0,0,0,Amine Adli,389409,Forward,183,Bournemouth,England,Premier League,6.33125,213,0,0,245
-AMR-,AM(R),England,EPL,11,0,1,1,Chemsdine Talbi,476110,Forward,16,Sunderland,England,Premier League,6.33,591,0,0,246
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,10,0,0,0,Evann Guessand,382587,Forward,24,Aston Villa,England,Premier League,6.326,426,0,0,247
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,9,0,1,0,Ryan Christie,128882,Midfielder,183,Bournemouth,England,Premier League,6.317777778,227,1,0,248
-DC-DMC-DR-,"D(CR),DMC",England,EPL,8,0,0,0,Emmanuel Agbadou,402810,Defender,161,Wolves,England,Premier League,6.31375,562,0,1,249
-DMC-,DMC,England,EPL,9,0,0,0,Manuel Ugarte,408962,Midfielder,32,Man Utd,England,Premier League,6.302222222,301,0,0,250
-DR-ML-MR-,"D(R),M(LR)",England,EPL,10,0,0,0,Jackson Tchatchoua,408580,Defender,161,Wolves,England,Premier League,6.295,518,0,0,251
-DMC-,DMC,England,EPL,8,0,1,0,Ibrahim Sangaré,328075,Midfielder,174,Nottingham Forest,England,Premier League,6.2925,504,2,0,252
-MC-,M(C),England,EPL,8,0,0,1,Lewis Miley,474264,Midfielder,23,Newcastle,England,Premier League,6.275,274,0,0,253
-AMC-AML-,AM(CL),England,EPL,11,0,1,0,Harvey Barnes,331382,Midfielder,23,Newcastle,England,Premier League,6.269090909,468,0,0,254
-FW-ML-MR-,"M(LR),FW",England,EPL,7,0,0,0,Simon Adingra,443004,Forward,16,Sunderland,England,Premier League,6.268571429,301,1,0,255
