tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
UCL,4,0,0,0,0,Joel Ordóñez,446053,Defender,124,Club Brugge,12,250,ceu,Europe,Champions League,6.5525,350,0,0,328
UCL,4,0,0,0,0,Gonçalo Inácio,395992,Defender,296,Sporting,12,250,ceu,Europe,Champions League,6.5475,360,0,0,329
UCL,3,1,0,1,0,Timothy Weah,353991,Forward,249,Marseille,12,250,ceu,Europe,Champions League,6.546666667,190,0,0,330
UCL,2,0,0,0,0,Thomas Delaney,73744,Midfielder,10,Copenhagen,12,250,ceu,Europe,Champions League,6.545,133,1,0,331
UCL,3,1,0,0,1,Arthur Vermeeren,445430,Midfielder,249,Marseille,12,250,ceu,Europe,Champions League,6.543333333,151,0,0,332
UCL,4,1,0,0,0,Frenkie de Jong,279423,Midfielder,65,Barcelona,12,250,ceu,Europe,Champions League,6.5425,301,2,0,333
UCL,4,0,0,0,0,Aleksandar Stankovic,459075,Midfielder,124,Club Brugge,12,250,ceu,Europe,Champions League,6.5375,360,0,0,334
UCL,3,1,0,0,0,Domingos Quina,331582,Midfielder,2748,Pafos FC,12,250,ceu,Europe,Champions League,6.536666667,177,0,0,335
UCL,3,0,0,0,0,Marc Cucurella,363496,Defender,15,Chelsea,12,250,ceu,Europe,Champions League,6.533333333,270,0,0,336
UCL,3,1,0,0,0,Matheus Nunes,394933,Midfielder,167,Man City,12,250,ceu,Europe,Champions League,6.53,197,0,0,337
UCL,2,1,0,0,0,Youssoupha Sanyang,569289,Midfielder,349,Slavia Prague,12,250,ceu,Europe,Champions League,6.53,76,0,0,338
UCL,2,2,0,0,0,Josh Acheampong,518604,Defender,15,Chelsea,12,250,ceu,Europe,Champions League,6.53,50,0,0,339
UCL,4,2,0,0,2,Jobe Bellingham,422365,Midfielder,44,Borussia Dortmund,12,250,ceu,Europe,Champions League,6.5275,201,0,0,340
UCL,4,0,0,0,0,Panagiotis Retsos,302402,Defender,843,Olympiacos,12,250,ceu,Europe,Champions League,6.525,356,0,0,341
UCL,4,3,0,0,0,Petar Sucic,439534,Midfielder,75,Inter,12,250,ceu,Europe,Champions League,6.525,151,0,0,342
UCL,3,1,0,0,1,Alejandro Balde,422938,Defender,65,Barcelona,12,250,ceu,Europe,Champions League,6.52,183,1,0,343
UCL,4,4,0,0,1,Ange-Yoan Bonny,447489,Forward,75,Inter,12,250,ceu,Europe,Champions League,6.52,103,0,0,344
UCL,4,2,0,0,0,Kevin Danso,330816,Defender,30,Tottenham,12,250,ceu,Europe,Champions League,6.52,198,0,0,345
UCL,3,3,0,2,0,Gonçalo Ramos,395802,Forward,304,PSG,12,250,ceu,Europe,Champions League,6.516666667,74,0,0,346
UCL,4,0,0,0,0,Kevin Medina,402679,Defender,2569,Qarabag FK,12,250,ceu,Europe,Champions League,6.515,360,1,0,347
UCL,4,0,0,0,0,Kyriani Sabbe,459256,Defender,124,Club Brugge,12,250,ceu,Europe,Champions League,6.515,314,0,0,348
UCL,4,2,0,0,0,Koke,80764,Midfielder,63,Atletico,12,250,ceu,Europe,Champions League,6.5125,197,0,0,349
UCL,4,0,0,0,0,Francisco Ortega,349263,Defender,843,Olympiacos,12,250,ceu,Europe,Champions League,6.51,323,0,0,350
UCL,4,0,0,2,0,Ramy Bensebaini,288892,Defender,44,Borussia Dortmund,12,250,ceu,Europe,Champions League,6.4975,332,1,0,351
UCL,3,1,0,0,0,Jajá,397494,Forward,2748,Pafos FC,12,250,ceu,Europe,Champions League,6.496666667,148,0,0,352
UCL,2,0,0,0,0,Oihan Sancet,381510,Midfielder,53,Athletic Club,12,250,ceu,Europe,Champions League,6.495,149,0,0,353
UCL,4,1,0,0,0,Eric García,368091,Defender,65,Barcelona,12,250,ceu,Europe,Champions League,6.49,275,0,0,354
UCL,3,1,0,0,0,Davide Frattesi,331425,Midfielder,75,Inter,12,250,ceu,Europe,Champions League,6.49,174,0,0,355
UCL,3,1,0,0,0,Miguel Gutiérrez,395788,Defender,276,Napoli,12,250,ceu,Europe,Champions League,6.49,204,1,0,356
