,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DC-,D(C),Italy,8,0,1,0,1,Tarik Muharemovic,439533,Defender,2889,Sassuolo,Italy,Serie A,6.97125,720,3,0,29
-FW-MC-ML-MR-,"M(CLR),FW",Italy,8,1,0,4,0,Kevin De Bruyne,73084,Midfielder,276,Napoli,Italy,Serie A,6.97,569,1,0,30
-DL-ML-,"D(L),M(L)",Italy,8,0,1,0,2,Aarón Martín,323546,Defender,278,Genoa,Italy,Serie A,6.96625,673,2,0,31
-DC-,D(C),Italy,11,0,1,0,0,Mario Gila,437646,Defender,77,Lazio,Italy,Serie A,6.956363636,955,1,0,32
-MR-,M(R),Italy,9,0,1,1,0,Idrissa Touré,330505,Midfielder,777,Pisa,Italy,Serie A,6.951111111,732,0,1,33
-DC-,D(C),Italy,8,1,0,0,0,Diego Carlos,134984,Defender,1290,Como,Italy,Serie A,6.94125,668,3,0,34
-DL-ML-MR-,"D(L),M(LR)",Italy,7,1,0,1,1,Nicola Zalewski,403913,Midfielder,300,Atalanta,Italy,Serie A,6.938571429,424,0,0,35
-MC-,M(C),Italy,9,1,0,2,1,Medon Berisha,439607,Midfielder,79,Lecce,Italy,Serie A,6.933333333,665,0,0,36
-DC-,D(C),Italy,11,0,0,2,1,Strahinja Pavlovic,383864,Defender,80,AC Milan,Italy,Serie A,6.911818182,924,0,0,37
-AMC-AML-FW-,"AM(CL),FW",Italy,10,0,1,3,0,Mattia Zaccagni,149029,Midfielder,77,Lazio,Italy,Serie A,6.895,862,2,0,38
-DC-,D(C),Italy,9,0,0,2,1,Leo Østigård,369971,Defender,278,Genoa,Italy,Serie A,6.892222222,766,4,0,39
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,11,4,1,2,4,Nicolò Cambiaghi,373544,Forward,71,Bologna,Italy,Serie A,6.883636364,624,2,0,40
-DL-,D(L),Italy,9,2,0,1,0,Juan Miranda,361993,Defender,71,Bologna,Italy,Serie A,6.878888889,636,2,0,41
-MC-,M(C),Italy,7,2,0,1,0,Nikola Moro,331383,Midfielder,71,Bologna,Italy,Serie A,6.878571429,433,0,0,42
-DR-MR-,"D(R),M(R)",Italy,10,0,2,1,0,Wesley,429481,Defender,84,Roma,Italy,Serie A,6.873,853,3,0,43
-DC-,D(C),Italy,10,0,0,1,0,Alessandro Circati,447486,Defender,24341,Parma Calcio 1913,Italy,Serie A,6.869,851,0,0,44
-DC-MC-ML-,"D(C),M(CL)",Italy,10,1,1,2,1,Scott McTominay,336915,Midfielder,276,Napoli,Italy,Serie A,6.869,813,0,0,45
-MC-,M(C),Italy,10,0,0,0,0,Manuel Locatelli,273539,Midfielder,87,Juventus,Italy,Serie A,6.868,762,3,0,46
-DC-MC-,"D(C),M(C)",Italy,11,0,0,1,0,Bryan Cristante,109149,Midfielder,84,Roma,Italy,Serie A,6.867272727,932,2,0,47
-DC-,D(C),Italy,11,0,0,0,1,Oumar Solet,354072,Defender,86,Udinese,Italy,Serie A,6.866363636,960,0,0,48
-FW-,FW,Italy,9,3,2,4,1,Santiago Castro,421081,Forward,71,Bologna,Italy,Serie A,6.858888889,600,1,0,49
-GK-,GK,Italy,10,0,1,0,0,Mike Maignan,141646,Goalkeeper,80,AC Milan,Italy,Serie A,6.851,866,0,0,50
-DMC-ML-,"DMC,M(L)",Italy,10,2,0,1,1,Khéphren Thuram,366379,Midfielder,87,Juventus,Italy,Serie A,6.849,689,0,0,51
-FW-MC-ML-MR-,"M(CLR),FW",Italy,7,1,0,0,0,Henrikh Mkhitaryan,28421,Midfielder,75,Inter,Italy,Serie A,6.847142857,484,2,0,52
-FW-,FW,Italy,11,0,1,1,3,Giovane,436627,Forward,76,Verona,Italy,Serie A,6.841818182,881,1,0,53
-FW-MC-ML-MR-,"M(CLR),FW",Italy,11,1,0,0,1,Matteo Politano,122683,Forward,276,Napoli,Italy,Serie A,6.840909091,765,1,0,54
-MR-,M(R),Italy,10,1,0,0,1,Marco Palestra,481154,Defender,78,Cagliari,Italy,Serie A,6.834,815,0,0,55
-DL-DR-ML-MR-,"D(LR),M(LR)",Italy,9,0,0,1,1,Andrea Cambiaso,423440,Defender,87,Juventus,Italy,Serie A,6.828888889,752,0,1,56
-DC-,D(C),Italy,11,0,0,0,0,Matteo Gabbia,337443,Defender,80,AC Milan,Italy,Serie A,6.825454545,990,1,0,57
-DC-,D(C),Italy,9,0,0,1,0,Yerry Mina,318432,Defender,78,Cagliari,Italy,Serie A,6.823333333,718,0,0,58
-MC-ML-MR-,M(CLR),Italy,9,0,0,2,0,Suat Serdar,296119,Midfielder,76,Verona,Italy,Serie A,6.814444444,762,2,0,59
-DC-DL-,D(CL),Italy,9,0,0,0,0,Torbjørn Heggem,364336,Defender,71,Bologna,Italy,Serie A,6.811111111,805,0,0,60
-DC-DL-,D(CL),Italy,9,0,1,1,0,Lloyd Kelly,332419,Defender,87,Juventus,Italy,Serie A,6.81,810,3,0,61
-FW-,FW,Italy,11,6,0,4,3,Ange-Yoan Bonny,447489,Forward,75,Inter,Italy,Serie A,6.804545455,411,0,0,62
