playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,seasonName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-,AM(C),Germany,GB,7,0,0,0,András Schäfer,369687,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.44,395,0,0,202
-FW-,FW,Germany,GB,7,1,1,1,Mikkel Kaufmann,392643,Forward,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.434285714,364,1,0,203
-FW-,FW,Germany,GB,8,0,1,0,Nicolas Jackson,426050,Forward,37,Bayern,2025/2026,Germany,Bundesliga,6.43125,305,0,0,204
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,10,0,0,1,Janik Haberer,110272,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.431,578,4,0,205
-DC-,D(C),Germany,GB,6,0,0,0,Keven Schlotterbeck,369556,Defender,1730,Augsburg,2025/2026,Germany,Bundesliga,6.43,495,3,0,206
-MC-MR-,M(CR),Germany,GB,8,1,1,0,Andreas Skov Olsen,377276,Forward,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.42375,363,1,0,207
-DC-DMC-,"D(C),DMC",Germany,GB,10,1,1,0,Eric Smith,320525,Midfielder,283,St. Pauli,2025/2026,Germany,Bundesliga,6.421,900,2,0,208
,Midfielder,Germany,GB,6,0,0,0,Anton Kade,431281,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.418333333,320,1,0,209
-DMC-,DMC,Germany,GB,7,0,0,0,Julian Niehues,442253,Midfielder,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.411428571,346,0,0,210
-MC-,M(C),Germany,GB,8,0,0,0,Denis Huseinbasic,444269,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.41125,391,1,0,211
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,8,0,1,0,Lee Jae-Sung,142959,Midfielder,219,Mainz,2025/2026,Germany,Bundesliga,6.41125,661,1,0,212
-DL-DR-ML-MR-,"D(LR),M(LR)",Germany,GB,7,0,0,1,Joakim Mæhle,363652,Defender,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.407142857,425,0,0,213
-GK-,GK,Germany,GB,10,0,0,0,Mark Flekken,115131,Goalkeeper,36,Leverkusen,2025/2026,Germany,Bundesliga,6.406,900,0,0,214
-MC-,M(C),Germany,GB,8,0,0,2,Hugo Larsson,443796,Midfielder,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.405,518,0,0,215
-DC-,D(C),Germany,GB,7,0,1,0,Noahkai Banks,532785,Defender,1730,Augsburg,2025/2026,Germany,Bundesliga,6.401428571,443,2,0,216
-DMC-ML-,"DMC,M(L)",Germany,GB,8,0,0,0,Nikolas Nartey,349125,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,6.39625,199,1,0,217
-DMC-,DMC,Germany,GB,7,0,0,0,Tom Krauß,367182,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.394285714,353,1,0,218
-DC-,D(C),Germany,GB,10,0,0,0,Joël Schmied,550581,Defender,282,FC Koln,2025/2026,Germany,Bundesliga,6.394,734,4,0,219
-DR-MC-MR-,"D(R),M(CR)",Germany,GB,7,0,1,0,Jens Castrop,431275,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.392857143,354,1,1,220
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,7,0,0,0,Mathias Honsak,361254,Forward,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.39,352,0,0,221
-DC-,D(C),Germany,GB,9,0,1,0,Hauke Wahl,132104,Defender,283,St. Pauli,2025/2026,Germany,Bundesliga,6.374444444,810,0,0,222
-AMC-AML-,AM(CL),Germany,GB,7,0,0,0,Muhammed Damar,444548,Midfielder,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.37,218,0,0,223
-MC-ML-MR-,M(CLR),Germany,GB,9,0,2,1,Mattias Svanberg,282348,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.368888889,444,1,1,224
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,6,0,0,0,Eliesse Ben Seghir,444598,Midfielder,36,Leverkusen,2025/2026,Germany,Bundesliga,6.366666667,168,2,0,225
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,8,0,0,0,Arnaud Nordin,328288,Forward,219,Mainz,2025/2026,Germany,Bundesliga,6.3625,358,0,0,226
-DC-DMC-,"D(C),DMC",Germany,GB,9,0,0,0,Atakan Karazor,347884,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,6.362222222,550,0,0,227
-ML-MR-,M(LR),Germany,GB,7,0,0,0,Philipp Treu,486776,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.36,438,0,0,228
-DR-MR-,"D(R),M(R)",Germany,GB,8,0,0,1,Manolis Saliakas,144493,Defender,283,St. Pauli,2025/2026,Germany,Bundesliga,6.35625,451,2,0,229
-DC-DL-,D(CL),Germany,GB,8,0,0,0,Ramon Hendriks,422909,Defender,41,Stuttgart,2025/2026,Germany,Bundesliga,6.35375,360,1,0,230
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,10,0,2,0,Justin Njinmah,438066,Forward,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.35,484,1,0,231
-GK-,GK,Germany,GB,8,0,0,0,Robin Zentner,245634,Goalkeeper,219,Mainz,2025/2026,Germany,Bundesliga,6.34875,697,2,1,232
-DR-,D(R),Germany,GB,9,0,0,0,Sacha Boey,372280,Defender,37,Bayern,2025/2026,Germany,Bundesliga,6.346666667,464,1,0,233
-DC-MC-,"D(C),M(C)",Germany,GB,9,0,0,0,Robert Andrich,122140,Midfielder,36,Leverkusen,2025/2026,Germany,Bundesliga,6.34,599,0,1,234
-DL-,D(L),Germany,GB,8,0,0,0,Jordy Makengo,496922,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.3325,566,1,0,235
-DR-MR-,"D(R),M(R)",Germany,GB,10,0,0,1,Marnon Busch,238699,Defender,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.331,502,1,0,236
-FW-,FW,Germany,GB,9,0,3,0,Andréas Hountondji,511603,Forward,283,St. Pauli,2025/2026,Germany,Bundesliga,6.33,477,1,0,237
-AMC-FW-,"AM(C),FW",Germany,GB,10,0,2,0,Armindo Sieb,410364,Forward,219,Mainz,2025/2026,Germany,Bundesliga,6.329,303,1,0,238
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,7,0,0,1,Christian Eriksen,69344,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.322857143,403,0,0,239
-MC-ML-,M(CL),Germany,GB,8,0,0,0,Kevin Stöger,104011,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.31,404,0,0,240
-MR-,M(R),Germany,GB,7,0,0,0,Arkadiusz Pyrka,499622,Defender,283,St. Pauli,2025/2026,Germany,Bundesliga,6.304285714,441,2,0,241
-FW-MC-,"M(C),FW",Germany,GB,10,0,0,0,Jobe Bellingham,422365,Midfielder,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.287,327,0,0,242
-DR-MR-,"D(R),M(R)",Germany,GB,7,0,0,0,Giorgi Gocholeishvili,460456,Defender,38,Hamburg,2025/2026,Germany,Bundesliga,6.282857143,508,0,1,243
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,6,0,0,1,Benedict Hollerbach,485184,Forward,219,Mainz,2025/2026,Germany,Bundesliga,6.28,370,0,0,244
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,10,0,1,0,Ransford Königsdörffer,389899,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.28,687,0,0,245
-AMC-,AM(C),Germany,GB,8,0,0,0,Cameron Puertas,431791,Midfielder,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.2675,437,3,0,246
-AMC-AMR-,AM(CR),Germany,GB,7,0,0,0,Badredine Bouanani,454467,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,6.264285714,227,1,0,247
-MC-,M(C),Germany,GB,9,0,0,0,Niklas Dorsch,306637,Midfielder,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.252222222,575,0,0,248
-DC-DL-ML-,"D(CL),M(L)",Germany,GB,6,0,0,0,Lars Ritzka,334039,Defender,283,St. Pauli,2025/2026,Germany,Bundesliga,6.236666667,246,0,0,249
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,9,0,1,0,Shuto Machino,447590,Forward,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.234444444,396,1,0,250
-DL-ML-,"D(L),M(L)",Germany,GB,6,0,0,1,Christian Günter,116464,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.233333333,348,1,0,251
-MC-MR-,M(CR),Germany,GB,10,0,0,1,Connor Metcalfe,442302,Midfielder,283,St. Pauli,2025/2026,Germany,Bundesliga,6.226,221,0,0,252
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,6,0,0,0,Linton Maina,354555,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.225,221,0,0,253
-FW-,FW,Germany,GB,6,0,1,0,Samuel Essende,451881,Forward,1730,Augsburg,2025/2026,Germany,Bundesliga,6.205,187,1,0,254
-MC-,M(C),Germany,GB,9,0,0,0,Elvis Rexhbeçaj,349837,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.195555556,502,3,0,255
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,6,0,0,0,Yussuf Poulsen,132943,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.195,183,3,0,256
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,7,0,0,0,Mario Götze,80382,Midfielder,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.192857143,193,0,0,257
-DR-MR-,"D(R),M(R)",Germany,GB,10,0,0,1,Omar Haktab Traoré,485191,Defender,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.192,687,1,0,258
-DC-DL-ML-,"D(CL),M(L)",Germany,GB,10,0,0,0,Derrick Köhn,400010,Defender,796,Union Berlin,2025/2026,Germany,Bundesliga,6.188,529,2,0,259
-DL-DMC-ML-,"D(L),DMC,M(L)",Germany,GB,10,0,0,0,Alexander Prass,418588,Defender,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.184,242,0,0,260
-FW-,FW,Germany,GB,6,0,0,0,Max Moerstedt,517609,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.18,117,0,0,261
-MC-,M(C),Germany,GB,9,0,0,0,Jan Schöppner,401079,Midfielder,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.176666667,717,3,0,262
-MC-,M(C),Germany,GB,6,0,0,0,Alex Král,369861,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.173333333,153,1,0,263
